sent_detect_precision,sent_detect_recall,sent_detect_f1,sent_correct_precision,sent_correct_recall,sent_correct_f1,char_detect_precision,char_detect_recall,char_detect_f1,char_correct_precision,char_correct_recall,char_correct_f1,alpha,CER
0.4660287081339713,0.3910076274588519,0.4252346649203231,0.0708133971291866,0.05941389000401445,0.06461471294477189,0.8017196456487754,0.6235055724417427,0.7014704206086856,0.11439714007149822,0.07132725430597771,0.08786819770344484,1e-06,0.08474476580299961
0.466251795117281,0.3910076274588519,0.4253275109170306,0.07132599329822882,0.05981533520674427,0.06506550218340612,0.8020344287949922,0.6231003039513677,0.7013342456380431,0.11577235772357725,0.07213779128672745,0.08888888888888889,2e-06,0.08465326144859828
0.4669223394055609,0.3910076274588519,0.4256062923312214,0.07430488974113135,0.062224006423123236,0.06772995411841817,0.802456232035537,0.6222897669706179,0.7009815110705319,0.12211006186909801,0.07598784194528875,0.09367974019485384,5e-06,0.08435033663811027
0.4675948151704273,0.3910076274588519,0.4258854394403148,0.07633221315410466,0.06382978723404255,0.0695233930913861,0.8029350104821803,0.6208713272543059,0.7002628271054736,0.1295691906005222,0.08044579533941236,0.09926240780097513,7.000000000000003e-06,0.08394453287056039
0.4653846153846154,0.3885989562424729,0.42353970684751696,0.08269230769230769,0.06904857486953031,0.07525705534893896,0.8031537450722733,0.6192502532928065,0.6993135011441648,0.14168848167539266,0.08774062816616009,0.10837191840820924,1e-05,0.08340644192130589
0.467280659234125,0.3869931754315536,0.42336407553798855,0.101308773630635,0.08390204737053393,0.09178743961352656,0.8084650415215644,0.6115501519756839,0.6963544070143055,0.1895294897282969,0.11590678824721375,0.1438450899031812,2e-05,0.08099948112902937
0.4726443768996961,0.3745483741469289,0.4179171332586786,0.14387031408308004,0.11401043757527098,0.12721164613661815,0.8385370205173952,0.5714285714285714,0.6796818510484455,0.3046099290780142,0.17406281661600811,0.2215344938749194,5e-05,0.0744538131168057
0.4715997915581032,0.36330790847049377,0.4104308390022675,0.15476810838978636,0.11922922521075875,0.1346938775510204,0.8457479826194909,0.5521783181357649,0.6681377957582444,0.3335779816513761,0.18419452887538001,0.2373368146214099,7e-05,0.07291638522516918
0.4682327816337426,0.3520674427940586,0.4019248395967002,0.15429791777896426,0.11601766358892013,0.1324472960586618,0.8498565508447561,0.5402228976697062,0.6605550049554014,0.3428357089272318,0.18520770010131712,0.24049467175371664,0.0001,0.07228419997193203
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15475550779150993,0.11561621838619028,0.1323529411764706,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34552998868351564,0.185612968591692,0.2414974953862377,0.0002,0.07214426044743466
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15475550779150993,0.11561621838619028,0.1323529411764706,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34552998868351564,0.185612968591692,0.2414974953862377,0.0005,0.07214426044743466
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15368081676518,0.11481332798073066,0.13143382352941174,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34477555639381363,0.18520770010131712,0.2409702082784076,0.0007,0.07217127175062615
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15368081676518,0.11481332798073066,0.13143382352941174,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34477555639381363,0.18520770010131712,0.2409702082784076,0.001,0.07217127175062615
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15368081676518,0.11481332798073066,0.13143382352941174,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34477555639381363,0.18520770010131712,0.2409702082784076,0.002,0.07217127175062615
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15368081676518,0.11481332798073066,0.13143382352941174,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34477555639381363,0.18520770010131712,0.2409702082784076,0.005,0.07217127175062615
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15368081676518,0.11481332798073066,0.13143382352941174,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34477555639381363,0.18520770010131712,0.2409702082784076,0.006999999999999999,0.07217127175062615
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15368081676518,0.11481332798073066,0.13143382352941174,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34477555639381363,0.18520770010131712,0.2409702082784076,0.01,0.07217127175062615
0.4642665233745298,0.34684865515857083,0.3970588235294117,0.15368081676518,0.11481332798073066,0.13143382352941174,0.8502245028864657,0.5371833839918946,0.658388178318639,0.34477555639381363,0.18520770010131712,0.2409702082784076,0.02,0.07217127175062615
0.4645161290322581,0.34684865515857083,0.39715008044127786,0.15376344086021507,0.11481332798073066,0.13146403125718226,0.850176451716394,0.5369807497467072,0.6582215598609039,0.3452830188679245,0.18541033434650456,0.24126565589980226,0.05,0.0721620371170564
0.4645161290322581,0.34684865515857083,0.39715008044127786,0.1543010752688172,0.11521477318346045,0.13192369570213744,0.850176451716394,0.5369807497467072,0.6582215598609039,0.3456603773584906,0.185612968591692,0.24152933421226105,0.07,0.07214356784991692
0.4645161290322581,0.34684865515857083,0.39715008044127786,0.1543010752688172,0.11521477318346045,0.13192369570213744,0.850176451716394,0.5369807497467072,0.6582215598609039,0.3456603773584906,0.185612968591692,0.24152933421226105,0.1,0.07214356784991692
0.4645161290322581,0.34684865515857083,0.39715008044127786,0.1543010752688172,0.11521477318346045,0.13192369570213744,0.8504492939666238,0.5369807497467072,0.6583033163582164,0.3456603773584906,0.185612968591692,0.24152933421226105,0.2,0.07213169474961298
